"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1188","03 should reject invalid email format","chromium","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","2592","15 should show back to orders link on detail","firefox","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","3651","09 should filter Home and Kitchen category","webkit","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","7126","06 should complete order with credit card details","webkit","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","1277","03 should show review form when logged in","firefox","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","4190","05 should show empty cart message after clear","firefox","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","1792","09 should filter Home and Kitchen category","firefox","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","739","03 should show stock status","firefox","2026-04-02","passed","2026-04-02","Product Detail Page","product-detail.spec.js","",""
"","2665","13 should clear filters via Clear All","firefox","2026-04-02","passed","2026-04-02","Product Browsing","product-browsing.spec.js","",""
"","1333","02 should prompt sign in when logged out","webkit","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","699","05 should validate empty password","firefox","2026-04-02","passed","2026-04-02","User Login","login.spec.js","",""
"","1759","06 should sort by newest","firefox","2026-04-02","passed","2026-04-02","Product Browsing","product-browsing.spec.js","",""
"","851","14 should show review cards for seeded data","firefox","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","2677","07 should redirect away from checkout when cart empty","firefox","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","6668","11 should show tax and shipping in review","webkit","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","5215","11 should show tax and shipping in review","chromium","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","908","14 should show Sign In button","webkit","2026-04-02","passed","2026-04-02","User Login","login.spec.js","",""
"","2731","04 should combine category and brand text filter","firefox","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","2110","06 should show empty state for nonsense search","webkit","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","1840","06 should show validation for short comment","webkit","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","2674","13 should show payment method on detail","firefox","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","2028","05 should show order status section on detail","webkit","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","2037","01 should search via navbar and show results heading","webkit","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","2762","06 should show empty state for nonsense search","firefox","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","1046","15 should show sort dropdown","firefox","2026-04-02","passed","2026-04-02","Product Browsing","product-browsing.spec.js","",""
"","1144","07 should show product description text","webkit","2026-04-02","passed","2026-04-02","Product Detail Page","product-detail.spec.js","",""
"","1448","01 should display product name on detail page","webkit","2026-04-02","passed","2026-04-02","Product Detail Page","product-detail.spec.js","",""
"","835","15 should allow Bob to open review form on eligible product","chromium","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","1624","11 should show cart page heading","chromium","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","5065","05 should show empty cart message after clear","webkit","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","1202","04 should validate empty email before submit","webkit","2026-04-02","passed","2026-04-02","User Login","login.spec.js","",""
"","1286","05 should validate empty password","webkit","2026-04-02","passed","2026-04-02","User Login","login.spec.js","",""
"","1842","14 should load products page title All Products","webkit","2026-04-02","passed","2026-04-02","Product Browsing","product-browsing.spec.js","",""
"","907","02 should show results count text","firefox","2026-04-02","passed","2026-04-02","Product Browsing","product-browsing.spec.js","",""
"","1044","08 should stay logged in when navigating to products","chromium","2026-04-02","passed","2026-04-02","User Login","login.spec.js","",""
"","2647","03 should filter by price range min max","webkit","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","1286","06 should validate invalid email format","webkit","2026-04-02","passed","2026-04-02","User Login","login.spec.js","",""
"","1864","07 should filter by minimum rating 4 stars","chromium","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","1466","15 should display compare-at price when on sale","webkit","2026-04-02","passed","2026-04-02","Product Detail Page","product-detail.spec.js","",""
"","1538","11 should filter by Books category","chromium","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","2657","05 should clear all filters","firefox","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","982","15 should show back to orders link on detail","chromium","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","729","08 should show errors when required fields empty","firefox","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","717","10 should navigate to product detail when clicking a card","chromium","2026-04-02","passed","2026-04-02","Product Browsing","product-browsing.spec.js","",""
"","2191","04 should remove item from cart","chromium","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","1417","14 should prompt login for reviews when logged out","webkit","2026-04-02","passed","2026-04-02","Product Detail Page","product-detail.spec.js","",""
"","1289","09 should show Account dropdown after login","firefox","2026-04-02","passed","2026-04-02","User Login","login.spec.js","",""
"","766","10 should show numeric review count in heading","firefox","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","913","13 should load login form with email and password fields","webkit","2026-04-02","passed","2026-04-02","User Login","login.spec.js","",""
"","1726","03 should show toast for unregistered email","webkit","2026-04-02","passed","2026-04-02","User Login","login.spec.js","",""
"","2159","09 should show Browse Products on empty orders for new user","chromium","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","3984","08 should filter by Electronics category","webkit","2026-04-02","passed","2026-04-02","Product Browsing","product-browsing.spec.js","",""
"","776","08 should show reviews section heading","firefox","2026-04-02","passed","2026-04-02","Product Detail Page","product-detail.spec.js","",""
"","1644","12 should show Filters sidebar on desktop","webkit","2026-04-02","passed","2026-04-02","Product Browsing","product-browsing.spec.js","",""
"","2781","14 should show payment options including Debit Card","firefox","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","910","14 should load products page title All Products","firefox","2026-04-02","passed","2026-04-02","Product Browsing","product-browsing.spec.js","",""
"","560","14 should show review cards for seeded data","chromium","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","1435","07 should reject invalid phone","firefox","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","694","14 should show password fields as password type","firefox","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","5148","08 should show review step with item list","firefox","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","1174","05 should reject weak password without uppercase","chromium","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","731","07 should show product description text","firefox","2026-04-02","passed","2026-04-02","Product Detail Page","product-detail.spec.js","",""
"","576","08 should show reviews section heading","chromium","2026-04-02","passed","2026-04-02","Product Detail Page","product-detail.spec.js","",""
"","1474","05 should show validation for short review title","firefox","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","1154","01 should search via navbar and show results heading","firefox","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","1705","12 should allow typing brand partial match","firefox","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","2639","06 should show order summary with subtotal","webkit","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","5233","05 should complete order with UPI and valid UPI id","firefox","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","1627","11 should show product cards with price","webkit","2026-04-02","passed","2026-04-02","Product Browsing","product-browsing.spec.js","",""
"","2213","01 should show cart with line item","firefox","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","1429","06 should not show add to cart for out of stock product","webkit","2026-04-02","passed","2026-04-02","Product Detail Page","product-detail.spec.js","",""
"","1502","02 should filter by Footwear category","chromium","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","873","06 should show status tracker component","chromium","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","1868","10 should persist search in URL query","webkit","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","1974","07 should redirect away from checkout when cart empty","chromium","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","2520","10 should show order date on list card","webkit","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","3401","04 should remove item from cart","webkit","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","1193","02 should reject duplicate email","chromium","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","3507","12 should show invalid zip client error","webkit","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","822","12 should load reviews from API","firefox","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","3123","12 should show invalid zip client error","chromium","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","5205","11 should show tax and shipping in review","firefox","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","1799","02 should filter by Footwear category","firefox","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","787","14 should prompt login for reviews when logged out","firefox","2026-04-02","passed","2026-04-02","Product Detail Page","product-detail.spec.js","",""
"","1270","09 should list existing reviews when present","webkit","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","7207","05 should complete order with UPI and valid UPI id","webkit","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","886","13 should keep user on product page after failed validation","chromium","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","920","12 should have password input type password","webkit","2026-04-02","passed","2026-04-02","User Login","login.spec.js","",""
"","588","02 should display price with rupee symbol","chromium","2026-04-02","passed","2026-04-02","Product Detail Page","product-detail.spec.js","",""
"","22828","13 should keep user on product page after failed validation","webkit","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","2287","08 should navigate to checkout via link","firefox","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","1995","13 should accept optional empty phone when other fields valid","webkit","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","1224","01 should login successfully with valid seeded credentials","firefox","2026-04-02","passed","2026-04-02","User Login","login.spec.js","",""
"","2150","13 should have remember shipping checkbox","firefox","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","614","06 should not show add to cart for out of stock product","chromium","2026-04-02","passed","2026-04-02","Product Detail Page","product-detail.spec.js","",""
"","2224","07 should filter by minimum rating 4 stars","firefox","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","1448","08 should filter by Accessories category","chromium","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","753","11 should navigate to register from login page","firefox","2026-04-02","passed","2026-04-02","User Login","login.spec.js","",""
"","2391","04 should sort by price high to low","webkit","2026-04-02","passed","2026-04-02","Product Browsing","product-browsing.spec.js","",""
"","1345","15 should stay on register when client validation fails","webkit","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","2112","15 should allow Bob to open review form on eligible product","webkit","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","3452","05 should show empty cart message after clear","chromium","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","5299","06 should complete order with credit card details","firefox","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","4586","14 should toggle same category off when clicked again","webkit","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","3040","01 should show checkout steps","firefox","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","1838","03 should show order id on card","firefox","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","1081","02 should show toast on wrong password","chromium","2026-04-02","passed","2026-04-02","User Login","login.spec.js","",""
"","5306","02 should list at least one order for seeded Alice","webkit","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","427","12 should have password input type password","chromium","2026-04-02","passed","2026-04-02","User Login","login.spec.js","",""
"","1558","04 should navigate to order detail","chromium","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","748","01 should show reviews section on product page","firefox","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","1458","05 should reject weak password without uppercase","firefox","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","1566","01 should show products grid when data loads","webkit","2026-04-02","passed","2026-04-02","Product Browsing","product-browsing.spec.js","",""
"","1201","09 should navigate to login from footer link","webkit","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","2733","03 should advance to payment after valid shipping","firefox","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","603","01 should show reviews section on product page","chromium","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","2592","15 should load checkout only when authenticated","firefox","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","613","01 should display product name on detail page","chromium","2026-04-02","passed","2026-04-02","Product Detail Page","product-detail.spec.js","",""
"","1546","13 should show line subtotal per item","chromium","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","1178","07 should keep user on login page when validation fails","webkit","2026-04-02","passed","2026-04-02","User Login","login.spec.js","",""
"","2642","12 should show shipping block on detail","firefox","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","2722","10 should display product title in cart line","webkit","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","2754","09 should show Browse Products on empty orders for new user","webkit","2026-04-02","failed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","649","15 should show sort dropdown","chromium","2026-04-02","passed","2026-04-02","Product Browsing","product-browsing.spec.js","",""
"","981","11 should show total on order card","chromium","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","2212","12 should show shipping block on detail","webkit","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","2588","15 should sort by top rated","webkit","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","3741","10 should logout and show Login link","webkit","2026-04-02","passed","2026-04-02","User Login","login.spec.js","",""
"","4429","02 should validate empty address fields","chromium","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","2855","13 should have remember shipping checkbox","webkit","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","1359","11 should navigate back using browser history","webkit","2026-04-02","passed","2026-04-02","Product Detail Page","product-detail.spec.js","",""
"","1185","10 should show brand when present","webkit","2026-04-02","passed","2026-04-02","Product Detail Page","product-detail.spec.js","",""
"","1760","08 should filter by Accessories category","firefox","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","2217","02 should reject duplicate email","webkit","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","3851","04 should complete order with Cash on Delivery","firefox","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","1581","15 should allow proceeding to checkout when items exist","chromium","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","1217","02 should show toast on wrong password","firefox","2026-04-02","passed","2026-04-02","User Login","login.spec.js","",""
"","580","06 should validate invalid email format","chromium","2026-04-02","passed","2026-04-02","User Login","login.spec.js","",""
"","1579","07 should show total in summary","chromium","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","1143","10 should persist search in URL query","chromium","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","3473","03 should decrease quantity","firefox","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","3487","07 should redirect away from checkout when cart empty","webkit","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","590","09 should show product image","chromium","2026-04-02","passed","2026-04-02","Product Detail Page","product-detail.spec.js","",""
"","2490","14 Bob should not see cancel on shipped order","webkit","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","2758","12 should show invalid zip client error","firefox","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","1185","07 should reject invalid phone","chromium","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","1902","03 should show review form when logged in","webkit","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","582","10 should show brand when present","chromium","2026-04-02","passed","2026-04-02","Product Detail Page","product-detail.spec.js","",""
"","1446","10 should show numeric review count in heading","webkit","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","4954","05 should clear all filters","webkit","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","2784","05 should sort by name A-Z","webkit","2026-04-02","passed","2026-04-02","Product Browsing","product-browsing.spec.js","",""
"","844","05 should show validation for short review title","chromium","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","1995","14 should toggle same category off when clicked again","chromium","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","798","01 should search via navbar and show results heading","chromium","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","1164","04 should reject short password","chromium","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","10686","08 should cancel placed order when Cancel Order is available","webkit","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","558","04 should validate empty email before submit","chromium","2026-04-02","passed","2026-04-02","User Login","login.spec.js","",""
"","547","12 should load reviews from API","chromium","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","1227","06 should show empty state for nonsense search","chromium","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","5145","09 should validate UPI when UPI selected","chromium","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","1561","09 should show Continue Shopping link","chromium","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","765","06 should not show add to cart for out of stock product","firefox","2026-04-02","passed","2026-04-02","Product Detail Page","product-detail.spec.js","",""
"","2826","10 should navigate to product detail when clicking a card","webkit","2026-04-02","passed","2026-04-02","Product Browsing","product-browsing.spec.js","",""
"","1562","11 should show star display on page","webkit","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","3294","09 should show Browse Products on empty orders for new user","firefox","2026-04-02","failed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","575","13 should show quantity selector for in-stock product","chromium","2026-04-02","passed","2026-04-02","Product Detail Page","product-detail.spec.js","",""
"","1899","09 should show Account dropdown after login","webkit","2026-04-02","passed","2026-04-02","User Login","login.spec.js","",""
"","965","12 should display Create Account heading","webkit","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","3834","10 should allow going back from payment to shipping","webkit","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","2479","15 should allow Bob to open review form on eligible product","firefox","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","1719","10 should logout and show Login link","chromium","2026-04-02","passed","2026-04-02","User Login","login.spec.js","",""
"","1766","05 should sort by name A-Z","firefox","2026-04-02","passed","2026-04-02","Product Browsing","product-browsing.spec.js","",""
"","644","12 should navigate to not found for unknown product id","firefox","2026-04-02","passed","2026-04-02","Product Detail Page","product-detail.spec.js","",""
"","3943","12 should add two different products","chromium","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","1801","07 should show order items section","webkit","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","2099","13 should show payment method on detail","webkit","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","6494","12 should add two different products","webkit","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","4178","04 should complete order with Cash on Delivery","chromium","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","1864","03 should reject invalid email format","webkit","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","542","10 should require first name","chromium","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","840","03 should show review form when logged in","chromium","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","1418","12 should allow typing brand partial match","chromium","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","1008","10 should navigate to product detail when clicking a card","firefox","2026-04-02","passed","2026-04-02","Product Browsing","product-browsing.spec.js","",""
"","503","15 should stay on register when client validation fails","chromium","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","1576","02 should show results count text","webkit","2026-04-02","passed","2026-04-02","Product Browsing","product-browsing.spec.js","",""
"","1581","06 should show order summary with subtotal","chromium","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","2867","15 should allow proceeding to checkout when items exist","webkit","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","5373","06 should complete order with credit card details","chromium","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","3264","13 should set high price floor and may show empty","webkit","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","7522","11 should show total on order card","firefox","2026-04-02","failed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","446","14 should show password fields as password type","chromium","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","2063","15 should show back to orders link on detail","webkit","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
